,zip,lat,temp,humidity,cloudiness
360,14221,42.96,39.61,60,0.75
361,14580,43.21,38.53,44,0.01
362,27406,36.02,39.2,100,0.9
363,27410,36.1,39.2,100,0.9
364,27587,35.98,41.59,100,0.9
365,27610,35.76,41.99,100,0.9
366,28027,35.42,41.61,100,0.9
367,28215,35.25,42.31,100,0.9
368,28269,35.28,41.99,100,0.9
369,28277,35.08,42.58,100,0.9
370,58103,46.88,23.23,85,0.9
371,43026,40.03,47.23,93,0.9
372,43055,40.06,47.62,93,0.9
373,43068,39.95,47.3,93,0.9
374,43081,40.13,46.96,93,0.9
375,43123,39.88,47.23,93,0.9
376,43130,39.71,48.99,93,0.9
377,43228,39.95,47.23,93,0.9
378,43229,40.09,46.85,93,0.9
379,43230,40.02,47.1,93,0.9
380,44035,41.37,43.39,81,0.9
381,44060,41.69,45.36,75,0.9
382,44077,41.69,43.84,75,0.9
383,44107,41.48,43.57,75,0.9
384,44130,41.4,44.19,87,0.9
385,44256,41.14,43.39,87,0.9
386,45011,39.41,50.81,100,0.9
387,45069,39.33,50.88,100,0.9
388,45140,39.25,51.44,81,0.9
389,45840,41.04,41.18,93,0.9
390,73099,35.51,57.88,50,0.75
391,74012,36.05,63.52,31,0.75
392,97006,45.49,44.82,81,0.9
393,97007,45.42,45.07,81,0.9
394,97229,45.49,44.82,81,0.9
395,97701,44.06,44.01,45,0.75
396,15601,40.3,36.97,100,0.9
397,17331,39.81,38.12,80,0.9
398,17601,40.08,37.6,69,0.9
399,17603,40.01,37.42,80,0.9
400,19020,40.11,39.49,69,0.9
401,19067,40.19,39.2,69,0.9
402,19111,40.06,39.33,69,0.9
403,19120,40.05,39.49,69,0.9
404,19124,40.05,39.49,69,0.9
405,19143,39.94,39.47,69,0.9
406,19380,39.98,39.22,69,0.9
407,19446,40.25,39.56,69,0.9
408,29445,33.04,57.74,87,0.9
409,29483,33.02,56.23,87,0.9
410,29732,34.97,42.6,100,0.9
411,37013,36.06,61.02,87,0.9
412,37027,36.0,60.39,87,0.9
413,37042,36.61,59.04,100,0.75
414,37075,36.31,61.16,87,0.9
415,37167,35.96,60.8,88,0.9
416,37211,36.07,61.02,87,0.9
417,75002,33.1,68.13,20,0.01
